# Temperature (K), Coefficient of Thermal Expansion
293.15,1.533441992e-05
323.15,1.566568625e-05
373.15,1.6166489999999998e-05
423.15,1.6608028749999998e-05
473.15,1.699592e-05
523.15,1.7335781249999998e-05
573.15,1.7633229999999998e-05
623.15,1.789388375e-05
673.15,1.8123359999999997e-05
723.15,1.832727625e-05
773.15,1.851125e-05
823.15,1.868089875e-05
873.15,1.8841839999999996e-05
923.15,1.8999691249999998e-05
973.15,1.9160069999999998e-05
1023.15,1.9328593749999998e-05
1073.15,1.951088e-05
1123.15,1.971254625e-05
1173.15,1.9939209999999998e-05
1223.15,2.019648875e-05
1273.15,2.049e-05
